Aggregate Dataset,Released:,,20210218,Nursing Homes,,,,,,,,,,,,,Assisted Living,,,,,,,,,,,,,Uncategorized Long Term Care Facilities,,,,,,,,,,,,,Other Care Facilities,,,,,,,,,,,,
Date,State,,Data Type,Resident Positives,Probable Resident Positives,Resident Deaths,Probable Resident Deaths,Staff Positives,Probable Staff Positives,Staff Deaths,Probable Staff Deaths,Resident/Staff Positives,Probable Res/Staff Positives,Resident/Staff Deaths,Probable res/staff Deaths,Number of Facilities with Outbreak,Resident Positives,Probable Resident Positives,Resident Deaths,Probable Resident Deaths,Staff Positives,Probable Staff Positives,Staff Deaths,Probable Staff Deaths,Resident/Staff Positives,Probable Res/Staff Positives,Resident/Staff Deaths,Probable res/staff Deaths,Number of Facilities with Outbreak,Resident Positives,Probable Resident Positives,Resident Deaths,Probable Resident Deaths,Staff Positives,Probable Staff Positives,Staff Deaths ,Probable Staff Deaths,Resident/Staff Positives,Probable Res/Staff Positives,Resident/Staff Deaths,Probable res/staff Deaths,Number of Facilities with Outbreak,Resident Positives,Probable Resident Positives,Resident Deaths,Probable Resident Deaths,Staff Positives,Probable Staff Positives,Staff Deaths ,Probable Staff Deaths,Resident/Staff Positives,Probable Res/Staff Positives,Resident/Staff Deaths,Probable res/staff Deaths,Number of Facilities with Outbreak
20200528,VT,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,
20200528,WA,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2894,,507,,,,,,,,,,,,,,,
20200528,WI,,Aggregate,,,,,,,,,,,,,74,,,,,,,,,,,,,,849,,226,,,,,,,,,,112,,,,,,,,,,,,,
20200528,WV,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,183,,,,150,,,,,,32,,10,,,,,,,,,,,,,
20200528,WY,,Aggregate,12,,4,,10,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200604,AK,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200604,AL,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,731",,,,1055,,,,,,,,,,,,,,,,,,,,,
20200604,AR,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,424,,64,,287,,,,,,,,77,,,,,,,,,,,,,
20200604,AS,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200604,AZ,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,127,1805,,433,,944,,4,,,,,,74,,,,,,,,,,,,,
20200604,CA,,Aggregate,10087,,1923,,5947,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2299,,342,,91
20200604,CO,,Aggregate,1405,439,366,112,970,533,2,,,,,,76,415,85,122,17,241,127,,,,,,,50,,,,,,,,,,,,,,438,74,141,18,285,111,0,,,,,,29
20200604,CT,,Aggregate,8517,,2542,,,,,,,,,,170,1041,,337,,,,,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,
20200604,DC,,Aggregate,670,,163,,204,,5,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200604,DE,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,687,,228,,,,,,,,,,30,,,,,,,,,,,,,
20200604,FL,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9589,,1332,,257,,,,,,,,,,,,,
20200604,GA,,Aggregate,5357,,923,,2195,,,,,,,,262,,,,,,,,,,,,,,,,,,,,,,,,,,,683,,172,,377,,,,,,,,156
20200604,GU,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200604,HI,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200604,IA,,Aggregate,,,,,,,,,1543,,291,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200604,ID,,Aggregate,183,,150,,,,32,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200604,IL,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17100,,2743,,523,,,,,,,,,,,,,
